Year,Forecast Category,Province,Sector,Use of Funds,Current dollars,Current dollars per capita,Constant 1997 dollars,Constant 1997 dollars per capita
2011,..,Yukon,Territorial Government,Administration,5742711,162,,
2012,..,Yukon,Territorial Government,Administration,6516685,180,,
2013,..,Yukon,Territorial Government,Administration,8156775,223,,
2014,..,Yukon,Territorial Government,Administration,8182500,220,,
2015,..,Yukon,Territorial Government,Administration,8442479,224,,
2016,..,Yukon,Territorial Government,Administration,8726548,226,,
2017,..,Yukon,Territorial Government,Administration,9411756,237,,
2018,..,Yukon,Territorial Government,Administration,10603072,261,,
2019,..,Yukon,Territorial Government,Administration,11865765,286,,
2020,f,Yukon,Territorial Government,Administration,13271829,316,,
2021,f,Yukon,Territorial Government,Administration,12630162,298,,
1975,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1976,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1977,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1978,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1979,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1980,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1981,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1982,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1983,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1984,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1985,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1986,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1987,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1988,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1989,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1990,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1991,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1992,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1993,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1994,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1995,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1996,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1997,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1998,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
1999,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2000,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2001,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2002,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2003,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2004,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2005,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2006,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2007,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2008,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2009,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2010,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2011,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2012,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),,,,
2013,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),5513746,151,,
2014,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),6084699,164,,
2015,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),6579805,175,,
2016,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),7241351,188,,
2017,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),7595020,191,,
2018,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),8448773,208,,
2019,..,Yukon,Territorial Government,Other health spending: Home and community care (HCC),10024582,242,,
2020,f,Yukon,Territorial Government,Other health spending: Home and community care (HCC),12197950,290,,
2021,f,Yukon,Territorial Government,Other health spending: Home and community care (HCC),13015558,307,,
1975,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,360750,16,,
1976,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,577250,26,,
1977,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,618500,28,,
1978,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,736250,32,,
1979,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,847250,37,,
1980,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,1002000,44,,
1981,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,1151000,48,,
1982,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,1259500,51,,
1983,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,1192500,50,,
1984,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,1366750,57,,
1985,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,1513172,62,,
1986,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,1587057,65,,
1987,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,1895497,74,,
1988,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,2471363,93,,
1989,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,3326537,122,,
1990,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,3719693,133,,
1991,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,3883531,135,,
1992,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,4307449,143,,
1993,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,4266764,141,,
1994,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,4424127,149,,
1995,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,4590069,151,,
1996,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,5130252,163,,
1997,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,6425622,202,,
1998,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,7309785,235,,
1999,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,8425139,274,,
2000,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,9011188,296,,
2001,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,9756986,324,,
2002,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,10742567,354,,
2003,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,11487649,371,,
2004,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,12465656,396,,
2005,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,13637925,427,,
2006,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,12689747,393,,
2007,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,16852121,518,,
2008,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,19081636,577,,
2009,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,20258306,601,,
2010,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,22839470,660,,
2011,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,24253847,685,,
2012,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,25814201,712,,
2013,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,21170550,580,,
2014,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,21770606,586,,
2015,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,22726718,603,,
2016,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,22872005,593,,
2017,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,24257811,612,,
2018,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,25118413,618,,
2019,..,Yukon,Territorial Government,Other Health Spending: Net of HCC,25428328,613,,
2020,f,Yukon,Territorial Government,Other Health Spending: Net of HCC,22985230,547,,
2021,f,Yukon,Territorial Government,Other Health Spending: Net of HCC,18490494,437,,
1975,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1976,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1977,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1978,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1979,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1980,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1981,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1982,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1983,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1984,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1985,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1986,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1987,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1988,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1989,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1990,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1991,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1992,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1993,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1994,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1995,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1996,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1997,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1998,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
1999,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2000,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2001,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2002,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2003,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2004,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2005,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2006,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2007,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2008,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2009,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2010,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2011,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2012,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2013,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2014,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2015,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2016,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2017,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2018,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2019,..,Yukon,Territorial Government,COVID-19 Response Funding,,,,
2020,f,Yukon,Territorial Government,COVID-19 Response Funding,29957250,712,,
2021,f,Yukon,Territorial Government,COVID-19 Response Funding,20648000,487,,
1975,..,Yukon,Territorial Government,Sub-Total,5610250,256,,
1976,..,Yukon,Territorial Government,Sub-Total,8554500,381,,
1977,..,Yukon,Territorial Government,Sub-Total,9890500,440,,
1978,..,Yukon,Territorial Government,Sub-Total,11312750,489,,
1979,..,Yukon,Territorial Government,Sub-Total,12190750,531,,
1980,..,Yukon,Territorial Government,Sub-Total,13200500,573,,
1981,..,Yukon,Territorial Government,Sub-Total,14830250,621,,
1982,..,Yukon,Territorial Government,Sub-Total,22253750,902,,
1983,..,Yukon,Territorial Government,Sub-Total,22071750,933,,
1984,..,Yukon,Territorial Government,Sub-Total,21816500,912,,
1985,..,Yukon,Territorial Government,Sub-Total,23564750,967,,
1986,..,Yukon,Territorial Government,Sub-Total,26052500,1066,,
1987,..,Yukon,Territorial Government,Sub-Total,28119000,1094,,
1988,..,Yukon,Territorial Government,Sub-Total,32039000,1202,,
1989,..,Yukon,Territorial Government,Sub-Total,35088000,1292,,
1990,..,Yukon,Territorial Government,Sub-Total,37926000,1357,,
1991,..,Yukon,Territorial Government,Sub-Total,42472875,1471,,
1992,..,Yukon,Territorial Government,Sub-Total,46403020,1542,,
1993,..,Yukon,Territorial Government,Sub-Total,52202821,1721,,
1994,..,Yukon,Territorial Government,Sub-Total,56227715,1894,,
1995,..,Yukon,Territorial Government,Sub-Total,56502256,1856,,
1996,..,Yukon,Territorial Government,Sub-Total,58413314,1861,,
1997,..,Yukon,Territorial Government,Sub-Total,67276175,2116,,
1998,..,Yukon,Territorial Government,Sub-Total,71358621,2291,,
1999,..,Yukon,Territorial Government,Sub-Total,75658628,2458,,
2000,..,Yukon,Territorial Government,Sub-Total,79761281,2621,,
2001,..,Yukon,Territorial Government,Sub-Total,84750682,2810,,
2002,..,Yukon,Territorial Government,Sub-Total,93236367,3073,,
2003,..,Yukon,Territorial Government,Sub-Total,100747023,3256,,
2004,..,Yukon,Territorial Government,Sub-Total,109582317,3484,,
2005,..,Yukon,Territorial Government,Sub-Total,119360107,3741,,
2006,..,Yukon,Territorial Government,Sub-Total,133546878,4138,,
2007,..,Yukon,Territorial Government,Sub-Total,142597396,4380,,
2008,..,Yukon,Territorial Government,Sub-Total,157516947,4761,,
2009,..,Yukon,Territorial Government,Sub-Total,177053600,5249,,
2010,..,Yukon,Territorial Government,Sub-Total,191425396,5533,,
2011,..,Yukon,Territorial Government,Sub-Total,198548381,5607,,
2012,..,Yukon,Territorial Government,Sub-Total,209894506,5793,,
2013,..,Yukon,Territorial Government,Sub-Total,227726256,6235,,
2014,..,Yukon,Territorial Government,Sub-Total,233880540,6298,,
2015,..,Yukon,Territorial Government,Sub-Total,246665409,6545,,
